1600000US5336745,"Lacey city, Washington",32.4,1.7
1600000US0857630,"Parker town, Colorado",32.3,1.7
1600000US0664224,"Salinas city, California",32.1,1.7
1600000US2524960,"Framingham city, Massachusetts",32.1,1.7
1600000US2580195,"Wilmington CDP, Massachusetts",32.1,1.7
1600000US0950370,"New Britain city, Connecticut",32,1.7
1600000US1960645,"Oxford city, Iowa",32,1.7
1600000US1804204,"Beech Grove city, Indiana",31.9,1.7
1600000US0653980,"Orange city, California",31.6,1.7
1600000US1077580,"Wilmington city, Delaware",31.4,1.7
1600000US4513330,"Charleston city, South Carolina",31.4,1.7
1600000US0608100,"Brea city, California",31.3,1.7
1600000US3725580,"Gastonia city, North Carolina",31.2,1.7
1600000US0614218,"Clovis city, California",30.9,1.7
1600000US1940845,"Keokuk city, Iowa",30.9,1.7
1600000US2605920,"Battle Creek city, Michigan",30.9,1.7
1600000US2038900,"Lawrence city, Kansas",30.8,1.7
1600000US2964550,"St. Joseph city, Missouri",30.8,1.7
1600000US1738570,"Joliet city, Illinois",30.5,1.7
1600000US5539225,"Kenosha city, Wisconsin",29.9,1.7
1600000US0660102,"Redwood City city, California",29.5,1.7
1600000US1255925,"Pensacola city, Florida",29.5,1.7
1600000US0682954,"Visalia city, California",29.4,1.7
1600000US1749867,"Moline city, Illinois",29.1,1.7
1600000US4741520,"Lebanon city, Tennessee",29.1,1.7
1600000US4767120,"Sevierville city, Tennessee",28.8,1.7
1600000US4819900,"Denison city, Texas",28.8,1.7
1600000US1310944,"Brookhaven city, Georgia",28.7,1.7
1600000US4253944,"New Philadelphia borough, Pennsylvania",28.7,1.7
1600000US5129744,"Fredericksburg city, Virginia",28.7,1.7
1600000US4241216,"Lancaster city, Pennsylvania",28.6,1.7
1600000US0683346,"Walnut Creek city, California",28.3,1.7
1600000US2161122,"Pine Knot CDP, Kentucky",28.3,1.7
1600000US3921742,"Dent CDP, Ohio",28.3,1.7
1600000US2471150,"Severn CDP, Maryland",28.2,1.7
1600000US3834340,"Halliday city, North Dakota",28.2,1.7
1600000US1656260,"Nampa city, Idaho",28.1,1.7
1600000US5613150,"Casper city, Wyoming",28.1,1.7
1600000US0122088,"Eagle Point CDP, Alabama",28,1.7
1600000US4841980,"League City city, Texas",28,1.7
1600000US0838590,"Iliff town, Colorado",27.8,1.7
1600000US0646114,"Martinez city, California",27.7,1.7
1600000US1639610,"Idaho City city, Idaho",27.7,1.7
1600000US1754885,"Oak Park village, Illinois",27.7,1.7
1600000US3832060,"Grand Forks city, North Dakota",27.7,1.7
1600000US3932536,"Groesbeck CDP, Ohio",27.7,1.7
1600000US0169180,"Selmont-West Selmont CDP, Alabama",27.6,1.7
1600000US1351072,"Metter city, Georgia",27.6,1.7
1600000US5577200,"Stevens Point city, Wisconsin",27.6,1.7
1600000US4232800,"Harrisburg city, Pennsylvania",27.5,1.7
1600000US2638460,"Hillsdale city, Michigan",27.4,1.7
1600000US3434530,"Island Heights borough, New Jersey",27.4,1.7
1600000US3921308,"Defiance city, Ohio",27.4,1.7
1600000US3933012,"Hamilton city, Ohio",27.4,1.7
1600000US0976500,"Torrington city, Connecticut",27.3,1.7
1600000US2642820,"Kentwood city, Michigan",27.3,1.7
1600000US2945740,"Mansfield city, Missouri",27.3,1.7
1600000US4842028,"Leary city, Texas",27.2,1.7
1600000US2771428,"Woodbury city, Minnesota",27,1.7
1600000US3978736,"Uniontown CDP, Ohio",26.9,1.7
1600000US1814734,"Columbus city, Indiana",26.8,1.7
1600000US4039000,"Kellyville town, Oklahoma",26.8,1.7
1600000US3563250,"Rio Lucio CDP, New Mexico",26.7,1.7
1600000US5668685,"Saratoga town, Wyoming",26.4,1.7
1600000US2669035,"Rochester Hills city, Michigan",26.3,1.7
1600000US5560500,"Oshkosh city, Wisconsin",26.2,1.7
1600000US1983910,"West Des Moines city, Iowa",25.5,1.7
1600000US1702154,"Arlington Heights village, Illinois",24.6,1.7
1600000US5585300,"West Allis city, Wisconsin",24.6,1.7
1600000US1709447,"Buffalo Grove village, Illinois",24.1,1.7
1600000US3460975,"Princeton Meadows CDP, New Jersey",23.8,1.7
1600000US1738115,"Jacksonville city, Illinois",23.6,1.7
1600000US3765100,"Stoneville town, North Carolina",23.4,1.7
1600000US4876240,"Wallis city, Texas",23.4,1.7
